DATE,DAY,MONTH,QUARTER,YEAR,WEEKDAY,MONTH_NAME,IS_WEEKEND,WEEK_OF_YEAR,FISCAL_YEAR
2022-04-01,1,4,2,2022,Friday,April,0,13,2022
2022-04-02,2,4,2,2022,Saturday,April,1,13,2022
2022-04-03,3,4,2,2022,Sunday,April,1,13,2022
2022-04-04,4,4,2,2022,Monday,April,0,14,2022
2022-04-05,5,4,2,2022,Tuesday,April,0,14,2022
2022-04-06,6,4,2,2022,Wednesday,April,0,14,2022
2022-04-07,7,4,2,2022,Thursday,April,0,14,2022
2022-04-08,8,4,2,2022,Friday,April,0,14,2022
2022-04-09,9,4,2,2022,Saturday,April,1,14,2022
2022-04-10,10,4,2,2022,Sunday,April,1,14,2022
2022-04-11,11,4,2,2022,Monday,April,0,15,2022
2022-04-12,12,4,2,2022,Tuesday,April,0,15,2022
2022-04-13,13,4,2,2022,Wednesday,April,0,15,2022
2022-04-14,14,4,2,2022,Thursday,April,0,15,2022
2022-04-15,15,4,2,2022,Friday,April,0,15,2022
2022-04-16,16,4,2,2022,Saturday,April,1,15,2022
2022-04-17,17,4,2,2022,Sunday,April,1,15,2022
2022-04-18,18,4,2,2022,Monday,April,0,16,2022
2022-04-19,19,4,2,2022,Tuesday,April,0,16,2022
2022-04-20,20,4,2,2022,Wednesday,April,0,16,2022
2022-04-21,21,4,2,2022,Thursday,April,0,16,2022
2022-04-22,22,4,2,2022,Friday,April,0,16,2022
2022-04-23,23,4,2,2022,Saturday,April,1,16,2022
2022-04-24,24,4,2,2022,Sunday,April,1,16,2022
2022-04-25,25,4,2,2022,Monday,April,0,17,2022
2022-04-26,26,4,2,2022,Tuesday,April,0,17,2022
2022-04-27,27,4,2,2022,Wednesday,April,0,17,2022
2022-04-28,28,4,2,2022,Thursday,April,0,17,2022
2022-04-29,29,4,2,2022,Friday,April,0,17,2022
2022-04-30,30,4,2,2022,Saturday,April,1,17,2022
2022-05-01,1,5,2,2022,Sunday,May,1,17,2022
2022-05-02,2,5,2,2022,Monday,May,0,18,2022
2022-05-03,3,5,2,2022,Tuesday,May,0,18,2022
2022-05-04,4,5,2,2022,Wednesday,May,0,18,2022
2022-05-05,5,5,2,2022,Thursday,May,0,18,2022
2022-05-06,6,5,2,2022,Friday,May,0,18,2022
2022-05-07,7,5,2,2022,Saturday,May,1,18,2022
2022-05-08,8,5,2,2022,Sunday,May,1,18,2022
2022-05-09,9,5,2,2022,Monday,May,0,19,2022
2022-05-10,10,5,2,2022,Tuesday,May,0,19,2022
2022-05-11,11,5,2,2022,Wednesday,May,0,19,2022
2022-05-12,12,5,2,2022,Thursday,May,0,19,2022
2022-05-13,13,5,2,2022,Friday,May,0,19,2022
2022-05-14,14,5,2,2022,Saturday,May,1,19,2022
2022-05-15,15,5,2,2022,Sunday,May,1,19,2022
2022-05-16,16,5,2,2022,Monday,May,0,20,2022
2022-05-17,17,5,2,2022,Tuesday,May,0,20,2022
2022-05-18,18,5,2,2022,Wednesday,May,0,20,2022
2022-05-19,19,5,2,2022,Thursday,May,0,20,2022
2022-05-20,20,5,2,2022,Friday,May,0,20,2022
2022-05-21,21,5,2,2022,Saturday,May,1,20,2022
2022-05-22,22,5,2,2022,Sunday,May,1,20,2022
2022-05-23,23,5,2,2022,Monday,May,0,21,2022
2022-05-24,24,5,2,2022,Tuesday,May,0,21,2022
2022-05-25,25,5,2,2022,Wednesday,May,0,21,2022
2022-05-26,26,5,2,2022,Thursday,May,0,21,2022
2022-05-27,27,5,2,2022,Friday,May,0,21,2022
2022-05-28,28,5,2,2022,Saturday,May,1,21,2022
2022-05-29,29,5,2,2022,Sunday,May,1,21,2022
2022-05-30,30,5,2,2022,Monday,May,0,22,2022
2022-05-31,31,5,2,2022,Tuesday,May,0,22,2022
2022-06-01,1,6,2,2022,Wednesday,June,0,22,2022
2022-06-02,2,6,2,2022,Thursday,June,0,22,2022
2022-06-03,3,6,2,2022,Friday,June,0,22,2022
2022-06-04,4,6,2,2022,Saturday,June,1,22,2022
2022-06-05,5,6,2,2022,Sunday,June,1,22,2022
2022-06-06,6,6,2,2022,Monday,June,0,23,2022
2022-06-07,7,6,2,2022,Tuesday,June,0,23,2022
2022-06-08,8,6,2,2022,Wednesday,June,0,23,2022
2022-06-09,9,6,2,2022,Thursday,June,0,23,2022
2022-06-10,10,6,2,2022,Friday,June,0,23,2022
2022-06-11,11,6,2,2022,Saturday,June,1,23,2022
2022-06-12,12,6,2,2022,Sunday,June,1,23,2022
2022-06-13,13,6,2,2022,Monday,June,0,24,2022
2022-06-14,14,6,2,2022,Tuesday,June,0,24,2022
2022-06-15,15,6,2,2022,Wednesday,June,0,24,2022
2022-06-16,16,6,2,2022,Thursday,June,0,24,2022
2022-06-17,17,6,2,2022,Friday,June,0,24,2022
2022-06-18,18,6,2,2022,Saturday,June,1,24,2022
2022-06-19,19,6,2,2022,Sunday,June,1,24,2022
2022-06-20,20,6,2,2022,Monday,June,0,25,2022
2022-06-21,21,6,2,2022,Tuesday,June,0,25,2022
2022-06-22,22,6,2,2022,Wednesday,June,0,25,2022
2022-06-23,23,6,2,2022,Thursday,June,0,25,2022
2022-06-24,24,6,2,2022,Friday,June,0,25,2022
2022-06-25,25,6,2,2022,Saturday,June,1,25,2022
2022-06-26,26,6,2,2022,Sunday,June,1,25,2022
2022-06-27,27,6,2,2022,Monday,June,0,26,2022
2022-06-28,28,6,2,2022,Tuesday,June,0,26,2022
2022-06-29,29,6,2,2022,Wednesday,June,0,26,2022
2022-06-30,30,6,2,2022,Thursday,June,0,26,2022
2022-07-01,1,7,3,2022,Friday,July,0,26,2022
2022-07-02,2,7,3,2022,Saturday,July,1,26,2022
2022-07-03,3,7,3,2022,Sunday,July,1,26,2022
2022-07-04,4,7,3,2022,Monday,July,0,27,2022
2022-07-05,5,7,3,2022,Tuesday,July,0,27,2022
2022-07-06,6,7,3,2022,Wednesday,July,0,27,2022
2022-07-07,7,7,3,2022,Thursday,July,0,27,2022
2022-07-08,8,7,3,2022,Friday,July,0,27,2022
2022-07-09,9,7,3,2022,Saturday,July,1,27,2022
2022-07-10,10,7,3,2022,Sunday,July,1,27,2022
